#This header contains the Wherli spectrum that is used to derive the ROLO irradiance from the ROLO
#reflectance. The format of the spectrum is consistent with the original one.
#  Wehrli, C. Extraterrestrial Solar Spectrum, Publication n no. 661155
#  Physikalisch-Meteorologisches Observatorium + World Radiation
#  Center (PMO/WRC) Davos Dorf, Switzerland, July 1985
#   Please note that the units of are changed to the GIRO units in
#   GIRO_ROLO_REF_SOL_CHAN.c
#Wavelengths in [nanometer]
#wl(nm)	irr(W/(nm*m^2))
 2447.5	 4.895E-002
 2452.5	 4.993E-002
 2457.5	 5.092E-002
 2462.5	 4.797E-002
 2467.5	 5.287E-002
 2472.5	 4.797E-002
 2477.5	 5.287E-002
 2482.5	 4.993E-002
 2487.5	 4.699E-002
 2492.5	 5.384E-002
 2497.5	 4.602E-002
 2502.5	 4.825E-002
 2507.5	 4.790E-002
 2512.5	 4.754E-002
 2517.5	 4.720E-002
 2522.5	 4.686E-002
 2527.5	 4.652E-002
 2532.5	 4.618E-002
 2537.5	 4.585E-002
 2542.5	 4.552E-002
 2547.5	 4.520E-002
 2552.5	 4.487E-002
 2557.5	 4.455E-002
 2562.5	 4.422E-002
 2567.5	 4.390E-002
 2572.5	 4.359E-002
 2577.5	 4.328E-002
 2582.5	 4.297E-002
 2587.5	 4.267E-002
 2592.5	 4.236E-002
 2597.5	 4.207E-002
 2602.5	 4.177E-002
 2607.5	 4.148E-002
 2612.5	 4.119E-002
 2617.5	 4.090E-002
 2622.5	 4.061E-002
 2627.5	 4.032E-002
 2632.5	 4.005E-002
 2637.5	 3.976E-002
 2642.5	 3.948E-002
