#Wavelength,	QER1,	QEG1,	QEB1,	QER2,	QEG2,	QEB2,	Scout,	Telescope,	total 
5.800000000000000000e+02 5.399999999999999939e-02 2.280000000000000082e-01 4.000000000000000083e-03 1.239999999999999991e-01 2.179999999999999993e-01 1.600000000000000033e-02 9.888431549000000764e-01 7.914400000000000324e-01 2.801743894920320499e-01
5.850000000000000000e+02 8.599999999999999312e-02 2.049999999999999878e-01 3.000000000000000062e-03 2.129999999999999949e-01 1.920000000000000040e-01 1.499999999999999944e-02 9.909089661000000104e-01 7.920300000000000118e-01 3.296284439364768892e-01
5.900000000000000000e+02 1.320000000000000062e-01 1.779999999999999916e-01 2.000000000000000042e-03 2.620000000000000107e-01 1.660000000000000087e-01 1.400000000000000029e-02 9.907875823999999776e-01 7.926199999999999912e-01 3.471105796743545469e-01
5.950000000000000000e+02 1.849999999999999978e-01 1.499999999999999944e-01 2.000000000000000042e-03 2.819999999999999729e-01 1.390000000000000124e-01 1.200000000000000025e-02 9.913534546000000169e-01 7.932099999999999707e-01 3.404901881221741866e-01
6.000000000000000000e+02 2.330000000000000127e-01 1.209999999999999964e-01 2.000000000000000042e-03 2.869999999999999774e-01 1.110000000000000014e-01 1.099999999999999936e-02 9.924112700999999648e-01 7.937999999999999501e-01 3.222004110780003483e-01
6.050000000000000000e+02 2.590000000000000080e-01 9.099999999999999756e-02 2.000000000000000042e-03 2.899999999999999800e-01 8.599999999999999312e-02 1.000000000000000021e-02 9.845580292000000178e-01 7.932299999999999907e-01 3.014586526838939906e-01
6.100000000000000000e+02 2.730000000000000204e-01 6.600000000000000311e-02 2.000000000000000042e-03 2.889999999999999791e-01 6.700000000000000400e-02 1.000000000000000021e-02 9.909954071000000031e-01 7.926599999999999202e-01 2.875012054974302456e-01
6.150000000000000000e+02 2.810000000000000275e-01 4.800000000000000100e-02 2.000000000000000042e-03 2.800000000000000266e-01 5.299999999999999850e-02 1.000000000000000021e-02 9.913825989000000227e-01 7.920899999999999608e-01 2.693456352676064647e-01
6.200000000000000000e+02 2.770000000000000240e-01 3.699999999999999817e-02 2.000000000000000042e-03 2.720000000000000195e-01 4.499999999999999833e-02 1.000000000000000021e-02 9.831149292000000983e-01 7.915200000000000014e-01 2.544567271046456192e-01
6.250000000000000000e+02 2.730000000000000204e-01 2.999999999999999889e-02 2.000000000000000042e-03 2.700000000000000178e-01 3.899999999999999994e-02 1.099999999999999936e-02 9.917649077999999285e-01 7.909500000000000419e-01 2.510196652238111947e-01
6.300000000000000000e+02 2.710000000000000187e-01 2.500000000000000139e-02 3.000000000000000062e-03 2.650000000000000133e-01 3.599999999999999728e-02 1.200000000000000025e-02 9.898908996999999932e-01 7.903799999999999715e-01 2.448880603924293020e-01
6.350000000000000000e+02 2.650000000000000133e-01 2.199999999999999872e-02 3.000000000000000062e-03 2.590000000000000080e-01 3.400000000000000244e-02 1.400000000000000029e-02 9.805581664999999392e-01 7.898100000000000120e-01 2.377575761633931029e-01
